,age,education,activity_work,voted,voted_party,close_party,which_p_close,how_close,placement_l_r,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,stflife,stfeco,stfgov,stfdem,stfedu,stfhlth,gender,educational_level,political_trust
17161,16.0,2.0,1.0,3.0,7.4,2.0,66.0,6.0,4.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,9.0,8.0,7.0,8.0,4.0,9.0,Male,lower_educated,8.0
17162,54.0,10.0,1.0,1.0,7.0,2.0,66.0,6.0,5.0,6.0,6.0,6.0,7.0,7.0,6.0,7.0,9.0,7.0,6.0,8.0,6.0,6.0,Male,mid_educated,6.0
17163,15.0,2.0,2.0,3.0,7.4,2.0,66.0,6.0,4.0,7.0,8.0,9.0,7.0,7.0,8.0,8.0,9.0,7.0,7.0,8.0,7.0,8.0,Female,lower_educated,7.0
17164,64.0,17.0,1.0,1.0,6.0,2.0,66.0,6.0,4.0,6.0,8.0,7.0,6.0,6.0,6.0,5.0,8.0,7.0,5.0,6.0,6.0,8.0,Male,highly_educated,6.0
17165,16.0,2.0,2.0,3.0,7.8,2.0,66.0,6.0,2.0,6.0,7.0,7.0,7.0,6.0,6.0,7.0,8.0,6.0,6.0,7.0,7.0,7.0,Female,lower_educated,6.0
17166,64.0,2.0,8.0,1.0,3.0,1.0,3.0,2.0,5.2,4.0,3.0,7.0,4.0,5.0,5.0,7.0,8.0,6.0,3.0,4.0,7.0,6.0,Female,lower_educated,4.0
17167,34.0,14.0,1.0,1.0,10.0,1.0,10.0,2.0,2.0,6.0,7.0,5.0,6.0,6.0,8.0,7.0,7.0,8.0,5.0,8.0,6.0,6.0,Male,highly_educated,6.0
17168,41.0,14.0,8.0,1.0,1.0,2.0,66.0,6.0,6.0,0.0,4.0,8.0,1.0,1.0,3.0,6.0,4.0,2.0,0.0,2.0,5.0,5.0,Female,highly_educated,1.0
17169,50.0,6.0,1.0,1.0,17.0,1.0,17.0,2.0,4.0,4.0,8.0,8.0,4.0,3.0,4.0,4.0,8.0,6.0,3.0,5.0,5.0,3.0,Female,mid_educated,4.0
17170,70.0,3.0,6.0,1.0,18.0,1.0,18.0,3.0,8.0,4.0,5.0,2.0,5.0,6.0,5.0,6.0,8.0,5.0,6.0,5.0,6.0,8.0,Female,lower_educated,5.0
17171,71.0,7.0,6.0,1.0,6.0,2.0,66.0,6.0,6.0,6.0,7.0,7.0,6.0,5.0,7.0,7.0,9.0,4.0,3.0,5.0,6.0,7.0,Male,mid_educated,6.0
17172,50.0,16.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,3.0,3.0,6.0,6.0,4.0,4.0,5.0,8.0,8.0,2.0,4.0,6.0,6.0,Male,highly_educated,4.0
17173,38.0,10.0,8.0,2.0,6.0,2.0,66.0,6.0,5.6,4.0,6.0,7.0,7.0,1.0,3.0,7.0,4.0,4.0,2.0,1.0,3.0,4.0,Female,mid_educated,4.0
17174,62.0,14.0,1.0,1.0,15.0,1.0,15.0,2.0,3.0,6.0,7.0,7.0,7.0,6.0,8.0,7.0,8.0,7.0,6.0,6.0,7.0,6.0,Male,highly_educated,7.0
17175,25.0,10.0,1.0,1.0,7.0,1.0,7.0,2.0,5.0,7.0,6.0,8.0,6.0,5.0,7.0,8.0,7.0,5.0,8.0,5.0,6.0,6.0,Female,mid_educated,6.0
17176,28.0,14.0,1.0,1.0,4.0,2.0,66.0,6.0,4.0,5.0,7.0,7.0,6.0,6.0,5.0,7.0,9.0,4.0,3.0,7.0,7.0,8.0,Female,highly_educated,6.0
17177,69.0,9.0,6.0,1.0,17.0,1.0,17.0,2.0,5.0,6.0,3.0,8.0,5.0,5.0,2.0,7.0,8.0,6.0,4.0,4.0,7.0,8.0,Male,mid_educated,4.0
17178,64.0,8.2,4.4,1.0,3.0,2.0,66.0,6.0,6.0,6.0,6.0,7.0,8.0,5.0,5.0,6.0,8.0,6.0,7.0,6.0,7.0,9.0,Female,,6.0
17179,70.0,10.0,6.0,1.0,1.0,2.0,66.0,6.0,4.0,7.0,8.0,8.0,6.0,7.0,6.0,7.0,8.0,8.0,7.0,8.0,8.0,9.0,Male,mid_educated,6.0
17180,43.0,14.0,1.0,1.0,8.0,1.0,8.0,4.0,2.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,7.0,7.0,6.0,7.0,7.0,Female,highly_educated,8.0
