,respondent,age,education,activity_work,voted,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,ppltrst,pplfair,pplhlp,atchctr,atcherp,gender,educational_level,political_trust
622,17090.0,59.0,9.0,1.0,1.0,7.0,9.0,8.0,6.0,7.0,7.0,8.0,4.0,5.0,3.0,7.0,7.0,Male,mid_educated,6.75
623,17091.0,56.0,3.0,8.0,1.0,5.0,6.0,5.0,5.0,5.0,6.2,6.2,8.0,6.0,8.0,8.0,8.0,Female,lower_educated,5.3
624,17092.0,57.0,10.0,1.0,1.0,8.0,9.0,10.0,8.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,10.0,Male,mid_educated,7.75
625,17093.0,42.0,16.0,1.0,2.0,8.0,10.0,9.0,7.0,7.0,7.0,7.0,8.0,8.0,5.0,8.0,8.0,Male,highly_educated,7.25
626,17094.0,78.0,3.0,8.0,1.0,7.0,6.0,8.0,8.0,6.0,8.0,6.0,7.0,6.0,7.0,8.0,7.0,Male,lower_educated,7.25
627,17095.0,50.0,10.0,1.0,1.0,6.0,2.0,8.0,0.0,0.0,4.0,4.0,9.0,8.0,6.0,9.0,2.0,Male,mid_educated,2.5
628,17096.0,25.0,10.0,1.0,1.0,4.0,4.0,6.0,7.0,7.0,9.0,10.0,5.0,6.0,7.0,2.0,9.0,Male,mid_educated,6.75
629,17097.0,44.0,14.0,1.0,1.0,6.0,7.0,8.0,6.0,4.0,3.0,6.0,7.0,8.0,5.0,8.0,4.0,Male,highly_educated,4.75
630,17098.0,43.0,8.0,1.0,1.0,4.0,8.0,9.0,4.0,3.0,4.0,5.0,6.0,9.0,6.0,8.0,8.0,Female,mid_educated,3.75
631,17099.0,51.0,14.0,1.0,1.0,8.0,10.0,9.0,7.0,8.0,7.0,7.0,8.0,9.0,7.0,9.0,7.0,Male,highly_educated,7.5
632,17100.0,61.0,4.0,8.0,1.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,8.0,7.0,8.0,7.0,6.0,Female,lower_educated,6.75
633,17101.0,88.0,2.0,6.0,1.0,8.0,7.0,8.0,7.0,5.0,4.0,2.0,7.0,6.0,5.0,8.0,6.0,Male,lower_educated,6.0
634,17102.0,21.0,7.0,2.0,1.0,4.0,7.0,8.0,5.0,5.0,6.0,8.0,7.0,6.0,4.0,7.0,5.0,Female,mid_educated,5.0
635,17103.0,68.0,5.0,6.0,1.0,6.0,6.0,8.0,5.0,6.0,6.0,7.0,7.0,7.0,5.0,7.0,6.0,Female,lower_educated,5.75
636,17104.0,41.0,16.0,1.0,1.0,3.0,5.0,7.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,8.0,2.0,Female,highly_educated,2.25
637,17105.0,32.0,10.0,1.0,1.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,Male,mid_educated,7.0
638,17106.0,42.0,14.0,1.0,1.0,2.0,8.0,8.0,1.0,0.0,0.0,7.0,8.0,7.0,5.0,2.0,5.0,Male,highly_educated,0.75
