,gender,age,education,activity_work,educational_level,voted,voted_party,close_party,which_p_close,how_close,placement_l_r,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun
18124,Male,27.0,17.0,1.0,highly_educated,1.0,1.0,1,17.0,2,7.0,8.0,9.0,8.0,7.0,7.0,7.0,8.0
18125,Female,48.0,16.0,1.0,highly_educated,1.0,6.0,1,15.0,2,4.0,8.0,9.0,9.0,7.0,6.0,7.0,8.0
18126,Male,47.0,17.0,1.0,highly_educated,1.0,1.0,2,66.0,6,5.0,6.0,6.0,6.0,5.0,5.0,4.0,5.0
18127,Male,37.0,10.0,1.0,mid_educated,1.0,,2,66.0,6,6.0,5.0,3.0,6.0,2.0,4.0,4.0,7.0
18128,Female,63.0,9.0,6.0,mid_educated,1.0,1.0,2,66.0,6,5.0,6.0,5.0,8.0,5.0,4.0,6.0,6.0
18129,Male,35.0,14.0,1.0,highly_educated,1.0,15.0,1,15.0,3,4.0,7.0,9.0,8.0,7.0,7.0,7.0,8.0
18130,Female,61.0,3.0,8.0,lower_educated,1.0,5.0,1,5.0,2,5.0,6.0,6.0,6.0,5.0,5.0,6.0,7.0
18131,Female,65.0,7.0,5.0,mid_educated,1.0,1.0,2,66.0,6,7.0,2.0,6.0,6.0,2.0,2.0,2.0,2.0
18132,Male,73.0,10.0,6.0,mid_educated,1.0,4.0,1,2.0,3,6.0,1.0,6.0,7.0,1.0,1.0,1.0,8.0
18133,Female,35.0,14.0,2.0,highly_educated,1.0,1.0,1,1.0,2,7.0,8.0,7.0,8.0,7.0,7.0,9.0,8.0
18134,Female,61.0,18.0,1.0,highly_educated,1.0,8.0,1,10.0,2,2.0,8.0,10.0,8.0,8.0,9.0,8.0,8.0
18135,Male,35.0,6.0,1.0,mid_educated,1.0,8.0,1,8.0,2,2.0,8.0,9.0,7.0,7.0,8.0,9.0,8.0
18136,Female,27.0,17.0,1.0,highly_educated,1.0,1.0,2,66.0,6,7.0,4.0,6.0,5.0,1.0,1.0,4.0,6.0
18137,Female,23.0,14.0,1.0,highly_educated,1.0,8.0,2,66.0,6,4.0,2.0,7.0,8.0,4.0,5.0,6.0,7.0
18138,Male,64.0,4.0,1.0,lower_educated,1.0,1.0,2,66.0,6,8.0,3.0,4.0,7.0,3.0,3.0,3.0,4.0
18139,Female,53.0,10.0,1.0,mid_educated,1.0,1.0,2,66.0,6,6.0,6.0,7.0,8.0,6.0,6.0,6.0,6.0
18140,Male,35.0,10.0,1.0,mid_educated,1.0,6.0,2,66.0,6,3.0,7.0,8.0,8.0,6.0,6.0,6.0,7.0
18141,Male,77.0,16.0,6.0,highly_educated,1.0,1.0,1,1.0,2,6.0,7.0,9.0,8.0,6.0,6.0,7.0,5.0
18142,Female,49.0,17.0,1.0,highly_educated,1.0,5.0,2,66.0,6,7.0,9.0,8.0,9.0,7.0,7.0,9.0,9.0
18143,Female,68.0,3.0,6.0,lower_educated,1.0,5.0,1,7.0,1,3.0,2.0,5.0,9.0,2.0,3.0,3.0,
18144,Male,77.0,16.0,6.0,highly_educated,1.0,16.0,2,66.0,6,7.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0
18145,Male,50.0,4.0,5.0,lower_educated,1.0,1.0,1,1.0,2,6.0,8.0,7.0,5.0,8.0,8.0,,
18146,Female,70.0,14.0,6.0,highly_educated,1.0,10.0,1,10.0,2,3.0,6.0,8.0,9.0,5.0,8.0,6.0,7.0
18147,Male,26.0,17.0,1.0,highly_educated,1.0,8.0,2,66.0,6,1.0,9.0,9.0,8.0,7.0,8.0,8.0,8.0
18148,Male,33.0,13.0,1.0,highly_educated,1.0,5.0,2,66.0,6,5.0,6.0,7.0,7.0,6.0,6.0,,
18149,Male,32.0,10.0,1.0,mid_educated,1.0,3.0,1,17.0,2,6.0,5.0,6.0,5.0,4.0,4.0,1.0,5.0
